"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"02-04-24 / 05:34 PM","Balcony","BAL324","12","4","103.74"
"02-04-24 / 11:07 AM","Balcony","BAL319","7","1","89.1"
"02-04-24 / 12:30 AM","Loge","LOGE17","2","2","174.84"
"02-03-24 / 09:03 PM","Balcony","BAL325","11","1","78.79"
"02-03-24 / 09:03 PM","Balcony","BAL301","11","3","125.13"
"02-03-24 / 05:32 PM","Loge","LOGE1","12","2","382.5"
"02-03-24 / 05:32 PM","Balcony","BAL318","14","3","105.98"
"02-03-24 / 02:18 PM","Balcony","BAL329","1","1","135"
"02-03-24 / 02:18 PM","Balcony","BAL321","9","1","91.77"
"02-03-24 / 10:54 AM","Balcony","BAL314","7","3","111.55"
"02-03-24 / 08:31 AM","Loge","LOGE17","8","2","165.87"
"02-03-24 / 08:31 AM","Loge","LOGE13","18","2","353.8"
"02-03-24 / 08:31 AM","Loge","LOGE17","12","4","168.78"
"02-03-24 / 08:31 AM","Balcony","BAL322","6","2","89.24"
"02-03-24 / 08:31 AM","Loge","LOGE6","16","2","188.16"
"02-03-24 / 08:31 AM","Loge","LOGE17","13","5","191.09"
"02-03-24 / 08:31 AM","Balcony","BAL316","15","3","126.1"
"02-03-24 / 08:31 AM","Loge","LOGE18","4","4","253.77"
"02-03-24 / 08:31 AM","Balcony","BAL328","15","2","76.86"
"02-02-24 / 11:43 PM","Loge","LOGE16","23","3","171.69"
"02-02-24 / 08:10 PM","Loge","LOGE5","22","2","154.65"
"02-02-24 / 04:24 PM","Balcony","BAL330","7","1","125.13"
"02-02-24 / 04:24 PM","Loge","LOGE17","7","3","170.72"
"02-02-24 / 09:45 AM","Loge","LOGE2","11","2","387.67"
"02-02-24 / 09:45 AM","Loge","LOGE17","H","2","255.03"
"02-02-24 / 09:45 AM","Balcony","BAL327","13","4","187.92"
"02-02-24 / 09:45 AM","Balcony","BAL321","3","2","141.12"
"02-02-24 / 09:45 AM","Balcony","BAL302","15","2","108.64"
"02-02-24 / 09:45 AM","Balcony","BAL306","10","3","84.39"
"02-02-24 / 09:45 AM","Club","CLB141","G","2","225"
"02-02-24 / 09:45 AM","Loge","LOGE6","22","2","219.26"
"02-02-24 / 09:45 AM","Balcony","BAL330","10","4","152.41"
"02-02-24 / 09:45 AM","Loge","LOGE17","2","2","273.42"
"02-02-24 / 09:45 AM","Loge","LOGE7","2","1","197.1"
"02-02-24 / 09:45 AM","Loge","LOGE18","19","2","241.08"
"02-02-24 / 09:45 AM","Loge","LOGE15","26","2","263.62"
"02-02-24 / 09:45 AM","Balcony","BAL322","15","6","80.64"
"02-02-24 / 09:45 AM","Balcony","BAL323","11","2","80.51"
"02-02-24 / 09:45 AM","Loge","LOGE6","24","5","265.5"
"02-02-24 / 09:45 AM","Balcony","BAL312","15","6","84.67"
"02-02-24 / 09:45 AM","Loge","LOGE10","21","2","218.25"
"02-02-24 / 09:45 AM","Loge","LOGE10","24","2","208.01"
"02-02-24 / 07:12 AM","Loge","LOGE7","25","2","156.17"
"02-02-24 / 07:12 AM","Balcony","BAL309","5","2","142.33"
"02-02-24 / 07:12 AM","Loge","LOGE10","9","4","281.83"
"02-02-24 / 07:12 AM","Loge","LOGE19","20","2","188.1"
"02-02-24 / 07:12 AM","Loge","LOGE7","3","2","266.56"
"02-02-24 / 07:12 AM","Loge","LOGE8","18","4","250.3"
"02-02-24 / 07:12 AM","Loge","LOGE5","11","2","192.08"
"02-02-24 / 07:12 AM","Loge","LOGE18","6","2","177.51"
"02-02-24 / 04:28 AM","Balcony","BAL328","15","2","82.48"
"02-02-24 / 04:28 AM","Balcony","BAL306","10","2","120.36"
"02-02-24 / 04:28 AM","Loge","LOGE6","1","2","330.26"
"02-02-24 / 04:28 AM","Balcony","BAL319","13","2","81.61"
"02-02-24 / 04:28 AM","Balcony","BAL309","10","4","78.99"
"02-02-24 / 04:28 AM","Balcony","BAL315","15","2","142.43"
"02-02-24 / 04:28 AM","Balcony","BAL305","12","4","76.5"
"02-02-24 / 04:28 AM","Balcony","BAL312","1","2","200.9"
"02-02-24 / 04:28 AM","Balcony","BAL321","12","2","83.42"
"02-02-24 / 12:55 AM","Loge","LOGE3","24","1","231.83"
"02-02-24 / 12:55 AM","Balcony","BAL326","4","3","132.3"
"02-02-24 / 12:55 AM","Balcony","BAL307","7","2","121.36"
"02-02-24 / 12:55 AM","Loge","LOGE11","15","2","422.38"
"02-02-24 / 12:55 AM","Balcony","BAL307","11","5","93.12"
"02-02-24 / 12:55 AM","Loge","LOGE2","18","2","381.4"
"02-02-24 / 12:55 AM","Loge","LOGE7","24","2","162.68"
"02-02-24 / 12:55 AM","Loge","LOGE10","14","2","391.02"
"02-02-24 / 12:55 AM","Balcony","BAL310","13","3","80.51"
"02-02-24 / 12:55 AM","Balcony","BAL312","15","4","89.96"
"02-02-24 / 12:55 AM","Balcony","BAL305","14","2","80.32"
"02-02-24 / 12:55 AM","Balcony","BAL302","15","2","112.52"
"02-02-24 / 12:55 AM","Balcony","BAL302","13","3","114.46"
"02-02-24 / 12:55 AM","Balcony","BAL301","12","4","145.5"
"02-02-24 / 12:55 AM","Loge","LOGE14","7","2","374.36"
"02-02-24 / 12:55 AM","Balcony","BAL309","","2","157.5"
"02-02-24 / 12:55 AM","Loge","LOGE18","9","2","146.88"
"02-02-24 / 12:55 AM","Balcony","BAL319","15","2","93.56"
"02-02-24 / 12:55 AM","Loge","LOGE6","21","3","154.23"
"02-02-24 / 12:55 AM","Loge","LOGE3","25","3","223.25"
"02-02-24 / 12:55 AM","Loge","LOGE6","1","2","342.02"
"02-02-24 / 12:55 AM","Balcony","BAL330","9","3","122.22"
"02-02-24 / 12:55 AM","Loge","LOGE11","4","2","410.62"
"02-02-24 / 12:55 AM","Loge","LOGE7","1","3","247"
"02-02-24 / 12:55 AM","Loge","LOGE5","23","2","168.78"
"02-02-24 / 12:55 AM","Balcony","BAL303","15","2","97.99"
"02-02-24 / 12:55 AM","Loge","LOGE19","26","3","169.75"
"02-02-24 / 12:55 AM","Balcony","BAL306","13","4","82.45"
"02-02-24 / 12:55 AM","Balcony","BAL314","10","2","96.3"
"02-01-24 / 09:29 PM","Balcony","BAL321","12","1","83.42"
"02-01-24 / 09:29 PM","Balcony","BAL328","2","2","126.1"
"02-01-24 / 09:29 PM","Loge","LOGE4","22","2","268.52"
"02-01-24 / 09:29 PM","Loge","LOGE20","25","4","202.5"
"02-01-24 / 09:29 PM","Loge","LOGE5","11","2","220.26"
"02-01-24 / 09:29 PM","Balcony","BAL316","8","2","209.27"
"02-01-24 / 09:29 PM","Club","CLB145","H","2","242.4"
"02-01-24 / 09:29 PM","Loge","LOGE17","E","1","348.88"
"02-01-24 / 09:28 PM","Balcony","BAL305","3","3","170.48"
"02-01-24 / 09:28 PM","Loge","LOGE14","C","2","279.89"
"02-01-24 / 09:28 PM","Loge","LOGE6","19","3","263.79"
"02-01-24 / 09:28 PM","Loge","LOGE9","17","2","315.56"
"02-01-24 / 09:28 PM","Balcony","BAL311","12","3","77.6"
"02-01-24 / 09:28 PM","Loge","LOGE7","C","2","304.78"
"02-01-24 / 09:28 PM","Balcony","BAL315","13","6","147.44"
"02-01-24 / 09:28 PM","Loge","LOGE5","25","6","194"
"02-01-24 / 09:28 PM","Loge","LOGE6","15","2","168.78"
"02-01-24 / 09:28 PM","Loge","LOGE17","7","4","174.6"
"02-01-24 / 09:28 PM","Loge","LOGE4","19","2","229.32"
"02-01-24 / 09:28 PM","Loge","LOGE4","23","2","207.58"
"02-01-24 / 09:28 PM","Loge","LOGE18","K","5","368.48"
"02-01-24 / 09:28 PM","Balcony","BAL316","12","3","147.26"
"02-01-24 / 09:28 PM","Balcony","BAL321","14","2","76.09"
"02-01-24 / 09:28 PM","Balcony","BAL303","1","2","208.74"
"02-01-24 / 09:28 PM","Balcony","BAL302","15","3","103.49"
"02-01-24 / 09:28 PM","Loge","LOGE8","21","5","275.48"
"02-01-24 / 09:28 PM","Balcony","BAL307","6","2","91.18"
"02-01-24 / 09:28 PM","Balcony","BAL314","11","4","115.43"
"02-01-24 / 09:28 PM","Balcony","BAL304","8","4","108.64"
"02-01-24 / 09:28 PM","Club","CLB107","F","2","247.81"
"02-01-24 / 09:28 PM","Balcony","BAL303","7","5","113.29"
"02-01-24 / 09:28 PM","Loge","LOGE19","21","2","388.08"
"02-01-24 / 09:28 PM","Balcony","BAL328","10","3","107.36"
"02-01-24 / 09:28 PM","Club","CLB145","B","2","261.2"
"02-01-24 / 09:28 PM","Balcony","BAL308","5","2","92.15"
"02-01-24 / 09:28 PM","Loge","LOGE19","22","2","180.04"
"02-01-24 / 09:28 PM","Loge","LOGE8","13","2","177.51"
"02-01-24 / 02:32 PM","Balcony","BAL322","12","2","80.51"
"02-01-24 / 02:32 PM","Balcony","BAL321","5","4","132.3"
"02-01-24 / 02:32 PM","Loge","LOGE15","10","4","329.28"
"02-01-24 / 02:32 PM","Balcony","BAL326","4","3","178.47"
"02-01-24 / 02:32 PM","Loge","LOGE15","16","2","312.62"
"02-01-24 / 02:32 PM","Balcony","BAL309","10","4","90.66"
"02-01-24 / 02:32 PM","Loge","LOGE7","24","2","199.28"
"02-01-24 / 02:32 PM","Loge","LOGE10","9","4","351.82"
"02-01-24 / 02:32 PM","Balcony","BAL314","7","2","149.13"
"02-01-24 / 02:32 PM","Loge","LOGE4","22","1","171.69"
"02-01-24 / 02:32 PM","Loge","LOGE5","23","1","325.01"
"02-01-24 / 02:32 PM","Balcony","BAL305","3","3","175.42"
"02-01-24 / 02:32 PM","Balcony","BAL325","5","2","141.12"
"02-01-24 / 02:32 PM","Balcony","BAL303","14","2","145.33"
"02-01-24 / 02:32 PM","Loge","LOGE17","18","4","178.48"
"02-01-24 / 02:32 PM","Balcony","BAL319","13","3","76.5"
"02-01-24 / 02:32 PM","Loge","LOGE4","7","2","353.78"
"02-01-24 / 02:32 PM","Balcony","BAL307","13","2","83.42"
"02-01-24 / 02:32 PM","Loge","LOGE19","22","2","151.2"
"02-01-24 / 02:32 PM","Balcony","BAL314","14","2","103.49"
"02-01-24 / 02:32 PM","Loge","LOGE20","26","3","414.5"
"02-01-24 / 02:32 PM","Balcony","BAL314","10","3","108"
"02-01-24 / 02:32 PM","Balcony","BAL325","14","1","75.51"
"02-01-24 / 02:32 PM","Loge","LOGE2","17","2","315"
"02-01-24 / 02:32 PM","Loge","LOGE6","5","2","340.06"
"02-01-24 / 02:32 PM","Balcony","BAL326","10","7","93.69"
"02-01-24 / 02:32 PM","Balcony","BAL311","11","5","85.36"
"02-01-24 / 02:32 PM","Balcony","BAL308","13","2","82.45"
"02-01-24 / 02:32 PM","Loge","LOGE4","24","4","193.03"
"02-01-24 / 11:08 AM","Balcony","BAL312","1","2","200.9"
"02-01-24 / 11:08 AM","Loge","LOGE17","L","2","188.18"
"02-01-24 / 11:08 AM","Balcony","BAL307","12","2","122.35"
"02-01-24 / 11:08 AM","Balcony","BAL320","6","2","130.35"
"02-01-24 / 11:08 AM","Balcony","BAL319","8","2","129.35"
"02-01-24 / 11:08 AM","Balcony","BAL308","15","4","67.5"
"02-01-24 / 11:08 AM","Loge","LOGE11","15","2","410.62"
"02-01-24 / 11:08 AM","Balcony","BAL311","9","2","120.36"
"02-01-24 / 11:08 AM","Club","CLB109","","4","314.1"
"02-01-24 / 11:08 AM","Balcony","BAL308","3","2","153.86"
"02-01-24 / 11:08 AM","Loge","LOGE8","12","4","238.25"
"02-01-24 / 11:08 AM","Loge","LOGE7","C","2","266.56"
"02-01-24 / 11:08 AM","Balcony","BAL314","1","2","194.04"
"02-01-24 / 11:08 AM","Loge","LOGE16","15","2","204.82"
"02-01-24 / 11:08 AM","Balcony","BAL317","13","4","122.22"
"02-01-24 / 11:08 AM","Loge","LOGE14","1","2","370.44"
"02-01-24 / 11:08 AM","Loge","LOGE15","24","3","202.73"
"02-01-24 / 11:08 AM","Loge","LOGE18","16","5","196.91"
"02-01-24 / 11:08 AM","Balcony","BAL319","14","2","87.3"
"02-01-24 / 11:08 AM","Loge","LOGE4","22","2","268.52"
"02-01-24 / 11:08 AM","Loge","LOGE6","25","3","158.11"
"02-01-24 / 11:08 AM","Balcony","BAL314","2","3","145.5"
"02-01-24 / 11:08 AM","Balcony","BAL326","9","4","85.36"
"02-01-24 / 11:08 AM","Loge","LOGE18","M","2","229.83"
"02-01-24 / 08:39 AM","Balcony","BAL308","11","2","76.63"
"02-01-24 / 08:39 AM","Loge","LOGE6","23","2","205.27"
"02-01-24 / 08:39 AM","Loge","LOGE19","22","3","389.06"
"02-01-24 / 08:39 AM","Loge","LOGE16","19","2","220.26"
"02-01-24 / 08:39 AM","Loge","LOGE11","8","2","383.44"
"02-01-24 / 08:39 AM","Balcony","BAL328","14","2","89.24"
"02-01-24 / 08:39 AM","Loge","LOGE7","20","5","162.96"
"02-01-24 / 08:39 AM","Club","CLB113","F","4","341.25"
"02-01-24 / 08:39 AM","Loge","LOGE7","25","2","161.02"
"02-01-24 / 06:27 AM","Loge","LOGE6","19","3","252.84"
"02-01-24 / 06:27 AM","VIP","13","B","2","1415.12"
"02-01-24 / 03:31 AM","Balcony","BAL305","15","2","89.96"
"02-01-24 / 03:31 AM","Balcony","BAL302","13","4","126.1"
"02-01-24 / 03:31 AM","Balcony","BAL321","3","2","128.38"
"02-01-24 / 03:31 AM","Loge","LOGE17","8","7","189.15"
"02-01-24 / 03:31 AM","Loge","LOGE6","23","3","289.04"
"02-01-24 / 03:31 AM","Loge","LOGE7","3","2","410.62"
"02-01-24 / 03:31 AM","Loge","LOGE14","2","2","270"
"02-01-24 / 03:31 AM","Loge","LOGE3","21","1","232.8"
"02-01-24 / 12:13 AM","Balcony","BAL303","13","4","120.28"
"02-01-24 / 12:12 AM","Loge","LOGE6","G","4","343.98"
"02-01-24 / 12:12 AM","Loge","LOGE16","7","2","231.68"
"02-01-24 / 12:12 AM","Loge","LOGE19","13","3","313.82"
"02-01-24 / 12:12 AM","Loge","LOGE7","E","2","356.72"
"02-01-24 / 12:12 AM","Balcony","BAL326","5","2","124.35"
"02-01-24 / 12:12 AM","Balcony","BAL313","5","2","123.48"
"02-01-24 / 12:12 AM","Loge","LOGE15","8","2","295.96"
"02-01-24 / 12:12 AM","Balcony","BAL328","12","4","97"
"02-01-24 / 12:12 AM","Loge","LOGE6","22","2","219.26"
"02-01-24 / 12:12 AM","Loge","LOGE15","14","2","283.22"
"02-01-24 / 12:12 AM","Loge","LOGE17","6","6","184.24"
"02-01-24 / 12:12 AM","Balcony","BAL310","8","3","93.12"
"02-01-24 / 12:12 AM","Loge","LOGE17","L","2","199.82"
"02-01-24 / 12:12 AM","Loge","LOGE18","18","2","302.82"
"02-01-24 / 12:12 AM","Loge","LOGE18","5","4","223.1"
"02-01-24 / 12:12 AM","Balcony","BAL313","6","3","112.52"
"02-01-24 / 12:12 AM","Loge","LOGE7","16","3","179.45"
"02-01-24 / 12:12 AM","Loge","LOGE20","1","2","342"
"02-01-24 / 12:12 AM","Balcony","BAL327","8","3","98.94"
"02-01-24 / 12:12 AM","Balcony","BAL318","14","4","97.76"
"02-01-24 / 12:12 AM","Loge","LOGE17","K","2","202.73"
"02-01-24 / 12:12 AM","Loge","LOGE7","2","4","227.5"
"02-01-24 / 12:12 AM","Balcony","BAL312","1","2","163.66"
"02-01-24 / 12:12 AM","Balcony","BAL323","8","4","90.21"
"01-31-24 / 08:30 PM","Balcony","BAL314","13","3","102.56"
"01-31-24 / 08:30 PM","Balcony","BAL325","14","1","72.8"
"01-31-24 / 08:30 PM","Balcony","BAL319","12","2","111.21"
"01-31-24 / 08:30 PM","Balcony","BAL327","12","4","114.95"
"01-31-24 / 08:30 PM","Balcony","BAL313","12","2","107.46"
"01-31-24 / 08:29 PM","Loge","LOGE6","E","1","398.73"
"01-31-24 / 08:29 PM","Balcony","BAL308","1","1","171.5"
"01-31-24 / 08:29 PM","Balcony","BAL312","10","4","79.9"
"01-31-24 / 08:29 PM","Balcony","BAL307","10","2","120.36"
"01-31-24 / 08:29 PM","Balcony","BAL321","5","4","153.09"
"01-31-24 / 08:29 PM","Loge","LOGE7","C","2","269.69"
"01-31-24 / 08:29 PM","VIP","13","A","2","1361.12"
"01-31-24 / 08:29 PM","Loge","LOGE18","10","2","274.4"
"01-31-24 / 08:29 PM","Club","CLB107","H","2","246.36"
"01-31-24 / 08:29 PM","Balcony","BAL320","12","2","126.35"
"01-31-24 / 08:29 PM","Loge","LOGE14","1","2","384.71"
"01-31-24 / 08:29 PM","Balcony","BAL306","2","4","170.07"
"01-31-24 / 08:29 PM","Balcony","BAL317","12","2","142.59"
"01-31-24 / 08:29 PM","Balcony","BAL330","13","2","182.29"
"01-31-24 / 08:29 PM","Balcony","BAL313","13","2","99.96"
"01-31-24 / 08:29 PM","Balcony","BAL326","13","2","103.71"
"01-31-24 / 08:29 PM","Loge","LOGE7","18","3","175.57"
"01-31-24 / 08:29 PM","Loge","LOGE17","F","2","258.99"
"01-31-24 / 08:29 PM","Balcony","BAL322","6","7","136.77"
"01-31-24 / 08:29 PM","Balcony","BAL321","8","6","101.85"
"01-31-24 / 08:29 PM","Balcony","BAL305","8","3","91.18"
"01-31-24 / 08:29 PM","Balcony","BAL308","14","4","90.21"
"01-31-24 / 08:29 PM","Balcony","BAL311","8","2","129.01"
"01-31-24 / 08:29 PM","Balcony","BAL320","10","1","76.72"
"01-31-24 / 08:29 PM","Loge","LOGE15","23","2","273.42"
"01-31-24 / 08:29 PM","Loge","LOGE10","B","4","384.12"
"01-31-24 / 04:52 PM","Balcony","BAL325","14","2","72.8"
"01-31-24 / 04:52 PM","Loge","LOGE20","11","2","386.12"
"01-31-24 / 04:52 PM","Loge","LOGE9","17","2","305.76"
"01-31-24 / 04:52 PM","Loge","LOGE6","23","2","222.79"
"01-31-24 / 04:52 PM","Loge","LOGE16","25","4","206.78"
"01-31-24 / 04:52 PM","Loge","LOGE4","26","6","195.02"
"01-31-24 / 04:52 PM","Balcony","BAL324","10","4","67.5"
"01-31-24 / 04:52 PM","Balcony","BAL305","3","3","181.47"
"01-31-24 / 04:52 PM","Balcony","BAL327","14","3","71.78"
"01-31-24 / 04:52 PM","Loge","LOGE7","3","2","276.36"
"01-31-24 / 04:52 PM","Balcony","BAL325","11","2","75.66"
"01-31-24 / 04:52 PM","Balcony","BAL319","8","2","129.35"
"01-31-24 / 04:52 PM","Balcony","BAL308","14","6","83.42"
"01-31-24 / 04:52 PM","Loge","LOGE11","17","2","391.02"
"01-31-24 / 04:52 PM","Balcony","BAL330","9","2","140.49"
"01-31-24 / 04:52 PM","Loge","LOGE15","23","2","292.04"
"01-31-24 / 04:52 PM","Balcony","BAL326","2","2","171"
"01-31-24 / 04:52 PM","Loge","LOGE7","10","2","230.3"
"01-31-24 / 04:52 PM","Club","CLB137","D","2","189"
"01-31-24 / 04:52 PM","Loge","LOGE20","B","4","433.59"
"01-31-24 / 04:52 PM","Balcony","BAL312","13","4","82.45"
"01-31-24 / 04:52 PM","Balcony","BAL326","12","4","80.12"
"01-31-24 / 04:52 PM","Balcony","BAL307","10","2","85.23"
"01-31-24 / 04:52 PM","Balcony","BAL322","13","2","75.31"
"01-31-24 / 04:52 PM","Balcony","BAL321","15","4","88.08"
"01-31-24 / 04:52 PM","Club","CLB107","E","2","231.83"
"01-31-24 / 01:33 PM","Club","CLB115","G","1","262.19"
"01-31-24 / 01:33 PM","Balcony","BAL324","11","2","74.85"
"01-31-24 / 01:33 PM","Balcony","BAL314","7","2","155.12"
"01-31-24 / 01:33 PM","Loge","LOGE7","21","4","259.7"
"01-31-24 / 01:33 PM","Loge","LOGE7","18","2","299.88"
"01-31-24 / 01:33 PM","Loge","LOGE6","E","2","367.5"
"01-31-24 / 01:33 PM","Balcony","BAL328","14","2","101.85"
"01-31-24 / 01:33 PM","Loge","LOGE7","19","3","180.42"
"01-31-24 / 01:33 PM","Balcony","BAL305","15","2","96.68"
"01-31-24 / 01:33 PM","Loge","LOGE5","5","2","309.68"
"01-31-24 / 01:33 PM","Loge","LOGE18","19","5","249.29"
"01-31-24 / 01:33 PM","Loge","LOGE19","21","3","410.62"
"01-31-24 / 01:32 PM","Loge","LOGE11","4","2","407.7"
"01-31-24 / 01:32 PM","Loge","LOGE10","7","2","423.36"
"01-31-24 / 01:32 PM","Loge","LOGE11","8","2","369.46"
"01-31-24 / 01:32 PM","Loge","LOGE6","16","2","243.04"
"01-31-24 / 01:32 PM","Loge","LOGE19","19","3","339.72"
"01-31-24 / 01:32 PM","Loge","LOGE6","7","2","198.85"
"01-31-24 / 01:32 PM","Loge","LOGE14","2","4","406.7"
"01-31-24 / 01:32 PM","Balcony","BAL318","13","2","97.95"
"01-31-24 / 01:32 PM","Loge","LOGE15","19","3","374.04"
"01-31-24 / 01:32 PM","Loge","LOGE6","19","3","290.17"
"01-31-24 / 01:32 PM","Balcony","BAL309","11","2","71.97"
"01-31-24 / 01:32 PM","Loge","LOGE18","2","2","251.1"
"01-31-24 / 01:32 PM","Loge","LOGE7","L","2","256.76"
"01-31-24 / 01:32 PM","Balcony","BAL304","12","2","96.03"
"01-31-24 / 01:32 PM","Balcony","BAL316","11","2","156.32"
"01-31-24 / 01:32 PM","Loge","LOGE21","13","2","341.25"
"01-31-24 / 01:32 PM","Loge","LOGE15","9","5","221.09"
"01-31-24 / 01:32 PM","Club","CLB109","D","4","319.13"
"01-31-24 / 01:32 PM","Club","CLB115","C","4","241.53"
"01-31-24 / 01:32 PM","Balcony","BAL306","1","2","121.25"
"01-31-24 / 10:49 AM","Balcony","BAL315","13","6","180.42"
"01-31-24 / 10:49 AM","Loge","LOGE19","22","2","203.73"
"01-31-24 / 10:49 AM","Balcony","BAL330","8","2","171.31"
"01-31-24 / 10:49 AM","Loge","LOGE10","A","2","331.66"
"01-31-24 / 10:49 AM","Balcony","BAL310","10","2","70.81"
"01-31-24 / 10:49 AM","Balcony","BAL319","15","2","77.97"
"01-31-24 / 10:49 AM","Balcony","BAL307","8","1","72.75"
"01-31-24 / 10:49 AM","Balcony","BAL307","12","2","122.35"
"01-31-24 / 10:49 AM","Loge","LOGE20","23","3","289.04"
"01-31-24 / 10:49 AM","Loge","LOGE20","9","2","390.04"
"01-31-24 / 10:49 AM","Balcony","BAL308","1","1","184.24"
"01-31-24 / 10:49 AM","Balcony","BAL310","11","6","95.06"
"01-31-24 / 08:30 AM","Balcony","BAL315","12","2","123.18"
"01-31-24 / 08:30 AM","Balcony","BAL310","13","4","141.1"
"01-31-24 / 08:30 AM","Balcony","BAL316","11","4","173.63"
"01-31-24 / 08:30 AM","Loge","LOGE7","D","2","392"
"01-31-24 / 08:30 AM","Balcony","BAL321","13","6","89.19"
"01-31-24 / 08:30 AM","Loge","LOGE16","23","2","211.68"
"01-31-24 / 08:30 AM","Balcony","BAL327","15","2","92.15"
"01-31-24 / 08:30 AM","Loge","LOGE4","22","2","210.49"
"01-31-24 / 03:21 AM","Balcony","BAL311","12","3","80.51"
"01-31-24 / 03:21 AM","Loge","LOGE7","C","2","409.64"
"01-31-24 / 03:21 AM","Loge","LOGE3","13","3","270.09"
"01-31-24 / 03:21 AM","Balcony","BAL301","13","4","130.95"
"01-31-24 / 03:21 AM","Balcony","BAL326","5","2","123.48"
"01-31-24 / 03:21 AM","Loge","LOGE6","6","2","196.91"
"01-31-24 / 12:21 AM","Balcony","BAL328","14","2","101.85"
"01-31-24 / 12:21 AM","Balcony","BAL307","8","3","112.52"
"01-31-24 / 12:20 AM","Loge","LOGE2","18","2","392"
"01-31-24 / 12:20 AM","Balcony","BAL315","12","2","123.18"
"01-31-24 / 12:20 AM","Balcony","BAL317","8","2","154.32"
"01-31-24 / 12:20 AM","Loge","LOGE7","19","2","221.48"
"01-31-24 / 12:20 AM","Balcony","BAL325","11","2","69.84"
"01-31-24 / 12:20 AM","Balcony","BAL308","11","4","71.78"
"01-31-24 / 12:20 AM","Loge","LOGE16","24","2","251.86"
"01-31-24 / 12:20 AM","Balcony","BAL302","14","2","112.81"
"01-31-24 / 12:20 AM","Loge","LOGE7","26","2","190.12"
"01-31-24 / 12:20 AM","Loge","LOGE15","8","4","281.83"
"01-31-24 / 12:20 AM","Balcony","BAL329","9","2","118.34"
"01-31-24 / 12:20 AM","Loge","LOGE6","G","3","355.74"
"01-31-24 / 12:20 AM","Loge","LOGE16","15","2","235.89"
"01-31-24 / 12:20 AM","Loge","LOGE20","3","1","332.17"
"01-31-24 / 12:20 AM","Loge","LOGE7","20","5","181.39"
"01-31-24 / 12:20 AM","Balcony","BAL314","15","2","142.33"
"01-31-24 / 12:20 AM","Loge","LOGE7","21","4","269.88"
"01-31-24 / 12:20 AM","Loge","LOGE6","C","2","449.82"
"01-31-24 / 12:20 AM","Balcony","BAL312","12","4","71.93"
"01-31-24 / 12:20 AM","Balcony","BAL306","12","2","69.93"
"01-31-24 / 12:20 AM","Loge","LOGE3","11","2","355.74"
"01-31-24 / 12:20 AM","Balcony","BAL309","14","2","70.97"
"01-31-24 / 12:20 AM","Balcony","BAL319","10","1","72.75"
"01-31-24 / 12:20 AM","Balcony","BAL309","11","4","73.45"
"01-31-24 / 12:20 AM","Loge","LOGE8","10","2","267.54"
"01-31-24 / 12:20 AM","Loge","LOGE21","17","2","427.5"
"01-31-24 / 12:20 AM","Balcony","BAL320","9","5","112.52"
"01-31-24 / 12:20 AM","Loge","LOGE7","19","3","180.42"
"01-31-24 / 12:20 AM","Loge","LOGE1","14","2","382.5"
"01-31-24 / 12:20 AM","Balcony","BAL317","4","2","146.47"
"01-31-24 / 12:20 AM","Balcony","BAL319","15","3","98.94"
"01-31-24 / 12:20 AM","Balcony","BAL305","15","4","74.97"
"01-31-24 / 12:20 AM","Loge","LOGE16","22","3","179.45"
"01-31-24 / 12:20 AM","Loge","LOGE8","22","3","189.15"
"01-30-24 / 08:50 PM","Balcony","BAL306","12","1","96.9"
"01-30-24 / 08:50 PM","Balcony","BAL330","12","4","174.41"
"01-30-24 / 08:50 PM","Balcony","BAL306","11","5","84.39"
"01-30-24 / 08:50 PM","Loge","LOGE17","2","2","377.3"
"01-30-24 / 08:50 PM","Loge","LOGE7","C","2","347.39"
"01-30-24 / 08:50 PM","Balcony","BAL308","15","5","202.7"
"01-30-24 / 08:50 PM","Balcony","BAL305","3","3","181.47"
"01-30-24 / 08:50 PM","Loge","LOGE4","19","2","239.49"
"01-30-24 / 08:50 PM","Loge","LOGE20","26","3","426.15"
"01-30-24 / 08:50 PM","Loge","LOGE3","11","4","361.91"
"01-30-24 / 08:50 PM","Loge","LOGE8","22","2","237.44"
"01-30-24 / 08:50 PM","Balcony","BAL324","1","2","175.42"
"01-30-24 / 08:50 PM","Loge","LOGE9","25","2","424.34"
"01-30-24 / 08:50 PM","Balcony","BAL321","7","3","177.71"
"01-30-24 / 08:50 PM","Balcony","BAL329","7","3","127.07"
"01-30-24 / 08:50 PM","Loge","LOGE14","6","2","264.08"
"01-30-24 / 08:50 PM","Balcony","BAL313","13","2","132.55"
"01-30-24 / 08:50 PM","Balcony","BAL326","14","4","124.15"
"01-30-24 / 08:50 PM","Balcony","BAL312","13","4","128.35"
"01-30-24 / 08:50 PM","Balcony","BAL314","8","2","105.63"
"01-30-24 / 08:50 PM","Balcony","BAL305","14","2","119.95"
"01-30-24 / 08:50 PM","Balcony","BAL322","15","6","110.4"
"01-30-24 / 08:50 PM","Balcony","BAL303","6","2","110.43"
"01-30-24 / 08:50 PM","Loge","LOGE20","18","2","326.34"
"01-30-24 / 08:50 PM","Loge","LOGE20","12","5","319.09"
"01-30-24 / 08:50 PM","Loge","LOGE10","C","3","322.18"
"01-30-24 / 08:50 PM","VIP","13","C","2","1569.96"
